Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,1116,214,4877,1543.74,0.000%,.38785,3.19,0.23,8430.4
TOTAL,10,1116,214,4877,1543.74,0.000%,.38785,3.19,0.23,8430.4
